region;comuna;administra;psu;nem
Bío-Bío;Laja;Particular Pagado;6.903.846;63.207
Maule;Constitución;Particular Pagado;6.768.750;64.007
Bío-Bío;Arauco;Particular Pagado;6.598.636;59.857
Araucanía;Angol;Particular Pagado;6.556.897;62.208
Coquimbo;Ovalle;Particular Pagado;6.451.818;60.128
Metropolitana;Lo Barnechea;Particular Pagado;6.409.856;61.418
Los Ríos;La Unión;Particular Pagado;6.407.656;59.874
Valparaíso;Con Cón;Particular Pagado;6.364.071;61.536
Los Lagos;Puerto Montt;Particular Pagado;6.352.449;59.793
Atacama;Vallenar;Particular Pagado;6.348.939;62.203
Los Lagos;Puerto Varas;Particular Pagado;6.324.792;59.524
Bío-Bío;Talcahuano;Particular Pagado;6.317.403;59.930
Metropolitana;Vitacura;Particular Pagado;6.314.710;59.928
Los Lagos;Osorno;Particular Pagado;6.252.941;58.612
O'Higgins;San Fernando;Particular Pagado;6.252.405;60.816
Bío-Bío;Chiguayante;Particular Pagado;6.249.171;59.030
Maule;Linares;Particular Pagado;6.246.053;59.813
Metropolitana;Colina;Particular Pagado;6.242.152;61.125
Los Ríos;Valdivia;Particular Pagado;6.203.910;59.437
Valparaíso;Panquehue;Particular Pagado;6.203.750;61.177
Metropolitana;Buin;Particular Pagado;6.201.853;59.933
Atacama;Copiapó;Particular Pagado;6.199.436;60.207
Valparaíso;Los Andes;Particular Pagado;6.173.824;59.349
Metropolitana;La Reina;Particular Pagado;6.166.171;59.958
Valparaíso;San Felipe;Particular Pagado;6.160.648;62.123
O'Higgins;Rancagua;Particular Pagado;6.158.886;59.493
Metropolitana;Las Condes;Particular Pagado;6.153.176;59.701
Maule;Talca;Particular Pagado;6.152.701;61.918
Metropolitana;Pudahuel;Particular Pagado;6.148.385;58.145
Metropolitana;Recoleta;Particular Pagado;6.128.846;56.706
Metropolitana;Paine;Particular Pagado;6.121.471;59.151
Metropolitana;Estacion Central;Particular Pagado;6.111.471;58.083
Bío-Bío;San Pedro De La Paz;Particular Pagado;6.104.657;58.774
O'Higgins;Santa Cruz;Particular Pagado;6.087.813;60.197
Bío-Bío;Los Angeles;Particular Pagado;6.081.986;58.224
Metropolitana;Calera De Tango;Particular Pagado;6.076.865;59.503
Metropolitana;Peñalolén;Particular Pagado;6.066.215;59.479
Metropolitana;Quilicura;Particular Pagado;6.059.783;57.632
Araucanía;Temuco;Particular Pagado;6.043.092;58.783
O'Higgins;Machalí;Particular Pagado;6.029.783;58.510
Bío-Bío;Chillán;Particular Pagado;6.010.000;59.904
Metropolitana;Independencia;Particular Pagado;6.003.661;56.517
Metropolitana;Huechuraba;Particular Pagado;5.990.968;58.875
Maule;Curicó;Particular Pagado;5.989.858;59.188
Metropolitana;Macul;Particular Pagado;5.933.817;57.141
Metropolitana;Talagante;Particular Pagado;5.925.875;60.207
Metropolitana;Providencia;Municipal;5.917.494;57.769
Valparaíso;Viña Del Mar;Particular Pagado;5.914.065;59.201
Metropolitana;Melipilla;Particular Pagado;5.912.897;59.039
Metropolitana;Ñuñoa;Particular Pagado;5.910.543;58.283
Metropolitana;San Miguel;Particular Pagado;5.906.871;57.300
Coquimbo;La Serena;Particular Pagado;5.903.361;58.691
Valparaíso;Calle Larga;Particular Pagado;5.883.158;60.400
Bío-Bío;Coelemu;Particular Subvencionado;5.875.500;61.963
Metropolitana;Maipú;Particular Pagado;5.875.259;58.747
Valparaíso;Villa Alemana;Particular Pagado;5.873.659;59.012
Metropolitana;La Florida;Particular Pagado;5.840.641;57.938
Metropolitana;Puente Alto;Particular Pagado;5.826.394;58.335
Los Lagos;Frutillar;Particular Pagado;5.808.182;59.825
Valparaíso;Santo Domingo;Particular Pagado;5.807.500;61.033
Tarapacá;Iquique;Particular Pagado;5.805.619;59.872
Metropolitana;Vitacura;Municipal;5.781.500;55.952
Bío-Bío;Yungay;Particular Subvencionado;5.762.273;60.376
Arica y Parinacota;Arica;Particular Pagado;5.757.516;59.708
Metropolitana;Curacaví;Particular Pagado;5.755.000;57.667
Valparaíso;Casablanca;Particular Pagado;5.752.500;56.250
Valparaíso;Valparaiso;Particular Pagado;5.743.448;58.252
O'Higgins;Doñihue;Particular Subvencionado;5.735.750;58.580
O'Higgins;Santa Cruz;Particular Subvencionado;5.733.367;58.368
Metropolitana;San Bernardo;Particular Pagado;5.729.631;57.010
Araucanía;Villarrica;Particular Pagado;5.718.917;58.009
Metropolitana;Las Condes;Particular Subvencionado;5.713.410;55.888
Metropolitana;Providencia;Particular Pagado;5.701.070;57.260
Metropolitana;La Cisterna;Particular Pagado;5.682.763;57.386
Magallanes;Punta Arenas;Particular Pagado;5.669.572;59.076
Bío-Bío;Concepción;Particular Pagado;5.643.919;57.588
Valparaíso;Quillota;Particular Pagado;5.635.455;57.997
Metropolitana;Vitacura;Particular Subvencionado;5.622.419;57.781
Antofagasta;Antofagasta;Particular Pagado;5.605.696;57.244
Maule;Constitución;Particular Subvencionado;5.604.780;58.201
Metropolitana;Ñuñoa;Municipal;5.598.002;55.025
Metropolitana;Santiago;Municipal;5.583.767;56.986
O'Higgins;San Vicente;Particular Subvencionado;5.576.761;57.076
Metropolitana;Santiago;Particular Pagado;5.571.791;56.368
O'Higgins;Las Cabras;Particular Subvencionado;5.531.000;57.442
Metropolitana;Peñaflor;Particular Pagado;5.522.105;59.015
Valparaíso;Calera;Particular Pagado;5.520.079;61.703
Antofagasta;Calama;Particular Pagado;5.508.152;57.458
O'Higgins;Rengo;Particular Subvencionado;5.502.121;57.809
Maule;Parral;Particular Subvencionado;5.466.154;57.562
Valparaíso;Cabildo;Particular Subvencionado;5.442.593;57.269
O'Higgins;Requinoa;Particular Subvencionado;5.432.194;56.382
Metropolitana;La Reina;Particular Subvencionado;5.424.306;56.086
Atacama;Vallenar;Particular Subvencionado;5.413.473;57.970
O'Higgins;Pichilemu;Particular Subvencionado;5.411.429;60.110
O'Higgins;Nancagua;Particular Subvencionado;5.408.163;57.098
Los Lagos;Puerto Varas;Particular Subvencionado;5.391.873;56.071
Valparaíso;Con Cón;Particular Subvencionado;5.373.333;57.582
Metropolitana;Pirque;Particular Pagado;5.353.372;57.917
Bío-Bío;Penco;Particular Subvencionado;5.342.431;57.330
Bío-Bío;San Carlos;Particular Subvencionado;5.342.347;57.895
Los Ríos;Mariquina;Particular Subvencionado;5.324.200;55.803
Los Lagos;Frutillar;Particular Subvencionado;5.313.108;57.763
O'Higgins;San Fernando;Particular Subvencionado;5.313.047;56.479
Bío-Bío;Talcahuano;Particular Subvencionado;5.293.192;56.464
O'Higgins;Machalí;Particular Subvencionado;5.293.016;57.098
Bío-Bío;San Pedro De La Paz;Particular Subvencionado;5.292.471;56.571
Valparaíso;Zapallar;Particular Subvencionado;5.291.154;58.726
Metropolitana;Lo Barnechea;Particular Subvencionado;5.281.901;54.691
Valparaíso;Villa Alemana;Particular Subvencionado;5.273.179;56.190
Metropolitana;Providencia;Particular Subvencionado;5.271.363;55.970
Bío-Bío;Lota;Particular Subvencionado;5.260.568;58.164
Bío-Bío;Hualpén;Particular Subvencionado;5.255.431;56.577
Bío-Bío;San Nicolás;Municipal;5.250.923;58.548
Bío-Bío;Chillán Viejo;Particular Subvencionado;5.239.649;57.695
Valparaíso;Quilpué;Particular Pagado;5.234.430;56.514
Antofagasta;Calama;Particular Subvencionado;5.233.289;56.243
Los Lagos;Ancud;Municipal;5.229.785;57.662
Coquimbo;La Serena;Particular Subvencionado;5.228.512;56.036
Maule;Linares;Particular Subvencionado;5.220.801;56.500
